global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	cosine00	cosine01	cosine02	non_steady_state_outlier00	non_steady_state_outlier01	non_steady_state_outlier02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48
375.18601704726416	n/a	n/a	140764.54738779	401.402330183365	n/a	n/a	161123.83067663517	234.71654035380163	n/a	n/a	55091.85431565779	240.0539144660881	340.7003014753101	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	-0.0008231809999999	n/a	6.776269587608354e-07	n/a	0.0467253	n/a	0.0021832536600899	n/a	-0.00569228	n/a	n/a	3.2402051598400004e-05	0.000236464	n/a	n/a	5.5915223296e-08	0.00144415	n/a	n/a	2.0855692225e-06	0.000155041	n/a	2.4037711681e-08	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
331.24480390506017	-43.94121314220399	1930.8302124086008	109723.12011410177	306.8415993062461	-94.56073087711889	8941.731824014905	94151.76706481488	212.90893898487028	-21.80760136893136	475.5714774662168	45330.21629966321	213.8982256017839	290.1266690505108	6.033898	199.051819	0.6603856109999999	0.304789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0992451	0.1000682809999999	0.00984958987401	0.0100136608622949	-0.0775471999999999	-0.1242724999999999	0.0060135682278399	0.0154436542562499	0.0797079	0.0854001799999999	0.0072931907440323	0.00635334932241	-0.00243137	-0.002667834	7.117338251556e-06	5.9115600769e-06	-0.00202087	-0.00346502	1.20063636004e-05	4.0839155569000005e-06	0.00103508	0.000880039	1.0713906064e-06	7.744686415210001e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
313.95742808026	-17.287375824800165	298.8533629078852	98569.26664677163	257.1676899273948	-49.673909378851306	2467.497272978332	66135.22074259268	207.57061764329688	-5.338321341573391	28.497674745897925	43085.56130881975	206.11620428881488	263.84571638285905	2.825368	93.205849	0.32831615	0.202845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.105561	0.0063158999999999	0.011143124721	3.989059280999999e-05	0.093982	0.1715291999999998	0.0088326163239999	0.0294222664526399	0.0889881	0.0092802	8.612211204000004e-05	0.00791888194161	-0.000318954	0.0021124159999999	4.462301357055999e-06	1.0173165411600001e-07	-0.00166161	0.00035926	1.2906774760000009e-07	2.7609477921e-06	0.000682939	-0.000352141	4.664056777210001e-07	1.2400328388100002e-07	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
305.8949759393953	-8.062452140864707	65.00313452373389	93571.73630496324	230.6862593362971	-26.481430591097705	701.2661661511254	53216.15024657332	205.8196591066504	-1.7509585366464933	3.065855797055229	42361.73207477778	203.02577258727663	255.01694713191915	1.82095	60.071175	0.17896475	0.11651	-0.0862439184	-0.2231078021	-0.5318933354	-0.0074270291	0.1407308898	-0.0529273536	0.1123870641	-0.0614410407	0.0990579001	-0.102250236	-0.0899342385	-0.0321784721	0.0315652898	-0.0043867278	0.0206192743	-0.0178983235	0.0292308677	-0.0743619584	0.0272690359	-0.0184614855	0.0779513756	-0.0290872008	0.0044338559	-0.0310612749	0.0026325135	-0.0319185081	0.0155062365	-0.0108308248	0.0973855249	-0.0223163342	-0.0962107951	-0.039788257	0.042553474	0.0448020492	0.0239954785	-0.0562331692	0.0484033483	-0.1116924574	0.0657444439	-0.0683392369	-0.0431189674	0.0757897753	-0.1093828145	0.1028558385	-0.1565509685	0.0515889822	-0.0340874459	0.3242330142	-0.0017841834	0.0069598367	-0.2350547086	0.0725470052	0.0725451457	0.0725420467	0.0	0.0	0.0	0.0990983	-0.0064627	0.00982047306289	4.176649129000002e-05	0.0913434	-0.0026385999999999	0.00834361672356	6.962209959999952e-06	0.121021	0.0320329	0.00102610668241	0.014646082441	-0.00218043	-0.001861476	3.465092898576001e-06	4.754274984900001e-06	-0.00207146	-0.0004098499999999	1.6797702249999987e-07	4.290946531599999e-06	0.000197654	-0.000485285	3.906710371599999e-08	2.3550153122500001e-07	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
303.464835381682	-2.430140557713287	5.905583130243045	92090.90631323136	220.0566612175689	-10.629598118728213	112.98835616567033	48424.93414622389	205.4560847380384	-0.3635743686119781	0.1321863215115985	42212.20275588402	202.20431200939427	251.332422368186	1.492843	49.247272	0.2567752	0.144138	-0.0890875762	-0.1652773993	-0.2552615979	-0.0540948951	0.1331862856	-0.0426399197	0.1350754381	-0.0127329673	0.0590536596	-0.0852937602	-0.0883469149	-0.0333405849	0.0073536531	-0.0076174271	0.0316659859	-0.0126478215	0.0359983758	-0.0809532761	0.0091848023	-0.0070214745	0.056575542	0.0121021116	-0.0088564245	-0.0431064894	0.01786776	0.0028211905	0.0327745707	-0.0251540874	0.1360728595	0.0112470523	-0.092058336	-0.0397644992	0.0166070617	0.0278010666	0.0307243007	-0.03149328	0.0461863901	-0.0955655701	0.0337861793	-0.0778422875	-0.021126148	0.0931216214	-0.05681257	0.0707475854	-0.0954455617	0.0887058881	-0.0380020743	0.2209922218	-0.0012107817	0.0061969137	-0.1324074883	0.0725420467	0.0725253126	0.0724974254	0.0	0.0	0.0	0.0853345999999999	-0.0137637000000001	0.0072819939571599	0.00018943943769	-0.0211112	-0.1124546	0.00044568276544	0.01264603706116	0.167717	0.046696	0.002180516416	0.028128992089	-0.00341232	-0.0012318899999999	1.5175529720999996e-06	1.16439277824e-05	-0.00178471	0.0002867499999999	8.222556249999996e-08	3.1851897841e-06	0.000356232	0.000158578	1.26901237824e-07	2.5146982084000004e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
301.8000210292847	-1.6648143523972865	2.771606827947996	91083.2526932767	214.6753955156338	-5.381265701935092	28.95802055482298	46085.52543979381	205.25480811562548	-0.2012766224129336	0.0405122787299586	42129.53625458224	201.740794400132	255.1283962305036	1.288182	42.49575	0.2514545	0.150194	-0.0835075162	-0.1309367516	-0.1328065932	0.0126140755	0.0777038655	-0.0812071732	0.0160324912	0.0292451213	0.0222805324	0.0098209034	-0.0873464619	-0.0432816369	-0.0074308346	-0.0122201343	0.0470501385	-0.0117095134	0.0228547417	-0.0641120414	0.0676371142	0.002954102	0.0255134299	0.0193159243	-0.0259708912	-0.0152388092	0.0224768818	-0.0091572089	0.0191073316	-0.0442513397	0.1593314728	0.0135385717	-0.0899896438	-0.0438062879	0.0011002099	0.02324643	0.0456368374	-0.0262824527	0.0283389295	-0.0802240192	0.0718651339	-0.0289205627	-0.0043425092	0.0691405562	-0.0091694793	0.0114072104	-0.0495211482	0.0788825546	-0.0229991551	0.1918396046	-0.0215780459	-0.0005558012	-0.0471787965	0.0725321301	0.0724856518	0.0724082101	0.0	0.0	0.0	0.0737435	-0.0115910999999998	0.00543810379225	0.0001343535992099	0.0953744	0.1164856	0.00909627617536	0.0135688950073599	0.155665	-0.012052	0.000145250704	0.024231592225	-0.00516341	-0.00175109	3.066316188100001e-06	2.66608028281e-05	-0.00141557	0.00036914	1.3626433960000004e-07	2.0038384249e-06	0.000462518	0.0001062859999999	2.13922900324e-07	1.1296713795999996e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
300.5225380199081	-1.277483009376624	1.6319628392459558	90313.7958579271	209.0335662745121	-5.641829241121684	31.83023718597568	43695.03182944085	205.2497902642748	-0.0050178513506864	2.517883217758575e-05	42127.47640352879	201.46512788157847	258.69176856264085	1.142181	37.679337	0.1359202499999999	0.0761407999999999	-0.0797831284	-0.1083921838	-0.0041797941	-0.0250807551	0.0363827617	-0.0350778022	-0.0151069684	0.0795135391	0.0178089916	-0.0095587805	-0.0859817421	-0.0418490034	-0.0088410651	-0.0188940375	0.0513798824	-0.0215475027	0.0115895095	-0.0557564477	0.0487766452	0.0031080125	0.014714357	0.034790501	-0.0356821609	0.0062817665	0.0165462655	-0.0369400996	0.0281573227	0.0185741107	0.129358845	0.0054912754	-0.0874149617	-0.0432905183	-0.0051424425	0.0226254989	0.0505869808	-0.019683639	0.0124206048	-0.0622032929	0.043329193	0.0079034517	0.0184046357	0.0580959416	0.0045787777	-0.0174945228	0.011665516	0.0612118541	-0.031461785	0.1211146687	-0.0689110552	0.0084170659	-0.038540459	0.0725172559	0.0724261741	0.0722744559	0.0	0.0	0.0	0.0787102999999999	0.0049667999999998	0.0061953113260899	2.466910223999897e-05	0.0401962	-0.0551782	0.00161573449444	0.0030446337552399	0.147046	-0.0086189999999999	7.428716099999979e-05	0.021622526116	-0.00618146	-0.0010180499999999	1.036425802499999e-06	3.82104477316e-05	-0.0012608	0.0001547699999999	2.3953752899999943e-08	1.5896166400000002e-06	0.000632823	0.000170305	4.00464949329e-07	2.9003793025000012e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
299.4962650833323	-1.026272936575822	1.0532361403479609	89698.01279886563	209.8165677536915	0.7830014791793758	0.6130913163970905	44022.99210393941	205.38132133943463	0.1315310751598417	0.0173004237327039	42181.48715513211	201.63544606013832	247.6840334163521	1.279925	42.223362	0.2935638999999999	0.19378	-0.0851678091	-0.1025005568	-0.0348885663	-0.0198890882	0.0382742506	-0.0046843456	-0.0276008152	0.0536554113	0.0386409353	-0.0697461295	-0.0832616823	-0.0409009906	-0.0075995355	-0.0217542866	0.0456410149	-0.0088445583	-0.0012158272	-0.0742890738	0.0491073053	0.0327462074	0.0004541083	0.0292762262	-0.0199785618	-0.0067272085	-0.022495064	0.017925213	-0.0067948023	-0.0249278637	0.0747812687	-0.026060692	-0.0834197295	-0.040334406	-0.0017721875	0.025133147	0.0524101369	-0.006650189	-0.0172809266	-0.0705375099	0.0365778327	0.009941418	0.0619748208	0.0063261251	0.0110973022	0.017199037	-0.0391849759	0.0276528009	-0.0205561418	0.0527981008	-0.0105408521	0.0199139315	-0.0290413592	0.0724974254	0.0723468959	0.0720962449	0.0	0.0	0.0	0.0650293	-0.0136809999999999	0.00422880985849	0.0001871697609999	-0.142176	-0.1823721999999999	0.020214014976	0.0332596193328399	0.19861	0.051564	0.002658846096	0.0394459321	-0.00661302	-0.00043156	1.862440336000001e-07	4.37320335204e-05	-0.000846776	0.000414024	1.7141587257600002e-07	7.170295941760001e-07	0.000559473	-7.335000000000002e-05	3.13010037729e-07	5.380222500000003e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
299.83067463488044	0.3344095515481626	0.1118297481666432	89898.43345200754	209.0494157831844	-0.7671519705070864	0.5885221458529055	43701.65823929071	205.65092738868069	0.2696060492460503	0.0726874217900637	42292.30393582441	201.93639359399708	251.95741983089908	1.140715	37.630951	0.20158448	0.139225	-0.0818880563	-0.0896897486	-0.0567368371	-0.0119001641	0.0047794655	0.0786099863	-0.040276216	-0.0219818554	-0.0050348341	-0.1152327283	-0.0843949817	-0.039458648	0.0018763489	-0.0312593736	0.063140535	-0.0116571018	0.0046537746	-0.0753547004	0.0171073894	0.0402183481	0.0126142335	-0.0264649063	0.0031619702	0.0424173064	-0.0153804706	0.0179888236	-0.0219423948	-0.0389545906	0.0655957282	0.0178089872	-0.0838091625	-0.0381513262	0.0029470225	0.0342389459	0.0696992659	-0.0080778012	-0.0113046655	-0.0694115857	-0.0146750287	-0.0123301014	0.0494526474	-0.0625146882	-0.0172242928	0.0189181944	-0.0375783454	0.0273156611	-0.0079218762	0.0732535971	0.0199905394	-0.0214610387	-0.0379369286	0.0724726397	0.0722478387	0.0718736868	0.0	0.0	0.0	0.0623534	-0.0026758999999999	0.00388794649156	7.160440809999973e-06	-0.00730572	0.13487028	5.33735447184e-05	0.0181899924272784	0.169451	-0.029159	0.000850247281	0.0287136414009999	-0.00684724	-0.00023422	5.485900840000013e-08	4.68846956176e-05	-0.000586651	0.000260125	6.766501562500002e-08	3.44159395801e-07	0.000356232	-0.000203241	1.26901237824e-07	4.1306904081000004e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
299.2703191220548	-0.5603555128256517	0.313998300754099	89562.72390741651	207.62403252582723	-1.4253832573571683	2.0317174303541323	43107.73888228576	205.21896539650592	-0.431961992174763	0.18659116268359	42114.8237584123	201.42601019804985	253.69254927665767	1.013334	33.428791	0.23162272	0.140033	-0.0804684134	-0.084416539	-0.0011592966	0.0006084703	0.0209759468	0.0130296388	-0.0344783931	-0.0420162469	-0.0017023848	-0.0206159759	-0.0831992783	-0.0400288334	-0.0175283678	-0.0251596938	0.0497982685	-0.0163768715	0.0003919553	-0.0586397087	0.032966055	0.0003538342	0.0047365417	-0.0216477938	-0.0066972482	0.0535936383	0.0328110743	0.0028688298	-0.0164500958	0.0012820915	0.051013059	-0.0158854799	-0.0837933058	-0.0395914407	-0.0138352164	0.0242715618	0.0524176717	-0.0089478562	-0.0060943758	-0.0542062837	-0.0002039489	0.0069916848	-0.003470216	-0.0491608527	-0.0187097774	-0.0068999159	0.0096982104	0.0797327771	0.0075720987	0.0759133427	-0.0252403041	0.0123251266	-0.0390780478	0.0724429006	0.0721290297	0.0716069184	0.0	0.0	0.0	0.0734085	0.0110550999999999	0.00538880787225	0.0001222152360099	0.0934905	0.10079622	0.00874047359025	0.0101598779662884	0.212721	0.04327	0.0018722929	0.045250223841	-0.0082317499999999	-0.0013845099999999	1.916867940099725e-06	6.776170806249837e-05	-0.000441133	0.0001455179999999	2.117548832399999e-08	1.94598323689e-07	0.000356232	0.0	1.26901237824e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
